kind,source_dataset,target_dataset,model,method,seed,status,metric_name,metric_value,expected_rows,actual_rows,path
transfer,hotpotqa,hotpotqa,Llama-3.1-8B-Instruct,act_vit,0,complete,auroc,0.8464112318132064,,,runs/transfer_matrix_memmap/llama/hotpotqa__hotpotqa__act_vit__0.json
transfer,hotpotqa,hotpotqa,Llama-3.1-8B-Instruct,act_vit,0,complete,n_tgt_test,7405.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__hotpotqa__act_vit__0.json
transfer,hotpotqa,mmlu,Llama-3.1-8B-Instruct,act_vit,0,complete,auroc,0.5695168926489135,,,runs/transfer_matrix_memmap/llama/hotpotqa__mmlu__act_vit__0.json
transfer,hotpotqa,mmlu,Llama-3.1-8B-Instruct,act_vit,0,complete,n_tgt_test,10269.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__mmlu__act_vit__0.json
transfer,hotpotqa,nq,Llama-3.1-8B-Instruct,act_vit,0,complete,auroc,0.6910226757025317,,,runs/transfer_matrix_memmap/llama/hotpotqa__nq__act_vit__0.json
transfer,hotpotqa,nq,Llama-3.1-8B-Instruct,act_vit,0,complete,n_tgt_test,4155.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__nq__act_vit__0.json
transfer,hotpotqa,popqa,Llama-3.1-8B-Instruct,act_vit,0,complete,auroc,0.8561350508118899,,,runs/transfer_matrix_memmap/llama/hotpotqa__popqa__act_vit__0.json
transfer,hotpotqa,popqa,Llama-3.1-8B-Instruct,act_vit,0,complete,n_tgt_test,2797.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__popqa__act_vit__0.json
transfer,hotpotqa,sciq,Llama-3.1-8B-Instruct,act_vit,0,complete,auroc,0.7151338606892075,,,runs/transfer_matrix_memmap/llama/hotpotqa__sciq__act_vit__0.json
transfer,hotpotqa,sciq,Llama-3.1-8B-Instruct,act_vit,0,complete,n_tgt_test,1000.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__sciq__act_vit__0.json
transfer,hotpotqa,searchqa,Llama-3.1-8B-Instruct,act_vit,0,complete,auroc,0.7219920158284594,,,runs/transfer_matrix_memmap/llama/hotpotqa__searchqa__act_vit__0.json
transfer,hotpotqa,searchqa,Llama-3.1-8B-Instruct,act_vit,0,complete,n_tgt_test,21609.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__searchqa__act_vit__0.json
transfer,hotpotqa,hotpotqa,Llama-3.1-8B-Instruct,act_vit,1,complete,auroc,0.847458333353961,,,runs/transfer_matrix_memmap/llama/hotpotqa__hotpotqa__act_vit__1.json
transfer,hotpotqa,hotpotqa,Llama-3.1-8B-Instruct,act_vit,1,complete,n_tgt_test,7405.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__hotpotqa__act_vit__1.json
transfer,hotpotqa,mmlu,Llama-3.1-8B-Instruct,act_vit,1,complete,auroc,0.5742748292257855,,,runs/transfer_matrix_memmap/llama/hotpotqa__mmlu__act_vit__1.json
transfer,hotpotqa,mmlu,Llama-3.1-8B-Instruct,act_vit,1,complete,n_tgt_test,10269.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__mmlu__act_vit__1.json
transfer,hotpotqa,nq,Llama-3.1-8B-Instruct,act_vit,1,complete,auroc,0.6802395842647281,,,runs/transfer_matrix_memmap/llama/hotpotqa__nq__act_vit__1.json
transfer,hotpotqa,nq,Llama-3.1-8B-Instruct,act_vit,1,complete,n_tgt_test,4155.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__nq__act_vit__1.json
transfer,hotpotqa,popqa,Llama-3.1-8B-Instruct,act_vit,1,complete,auroc,0.8554242512151394,,,runs/transfer_matrix_memmap/llama/hotpotqa__popqa__act_vit__1.json
transfer,hotpotqa,popqa,Llama-3.1-8B-Instruct,act_vit,1,complete,n_tgt_test,2797.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__popqa__act_vit__1.json
transfer,hotpotqa,sciq,Llama-3.1-8B-Instruct,act_vit,1,complete,auroc,0.7361270096188345,,,runs/transfer_matrix_memmap/llama/hotpotqa__sciq__act_vit__1.json
transfer,hotpotqa,sciq,Llama-3.1-8B-Instruct,act_vit,1,complete,n_tgt_test,1000.0,,,runs/transfer_matrix_memmap/llama/hotpotqa__sciq__act_vit__1.json
