dataset,model,n,unknown,substring_correct_rate,judge_correct_rate,disagree_rate,false_hallucinated,false_hallucinated_rate,false_correct,false_correct_rate
hotpotqa,Qwen3-8B,1000,0,0.289,0.322,0.133,83,0.083,50,0.05
hotpotqa,Llama-3.1-8B-Instruct,1000,0,0.331,0.384,0.149,101,0.101,48,0.048
mmlu,Qwen3-8B,999,1,0.1491,0.3954,0.2863,266,0.2663,20,0.02
mmlu,Llama-3.1-8B-Instruct,999,1,0.1401,0.3203,0.2362,208,0.2082,28,0.028
natural_questions,Qwen3-8B,1000,0,0.18,0.265,0.135,110,0.11,25,0.025
natural_questions,Llama-3.1-8B-Instruct,1000,0,0.289,0.466,0.227,202,0.202,25,0.025
popqa,Qwen3-8B,1000,0,0.267,0.245,0.05,14,0.014,36,0.036
popqa,Llama-3.1-8B-Instruct,1000,0,0.364,0.342,0.058,18,0.018,40,0.04
sciq,Qwen3-8B,1000,0,0.692,0.825,0.181,157,0.157,24,0.024
sciq,Llama-3.1-8B-Instruct,999,1,0.6266,0.7397,0.1552,134,0.1341,21,0.021
searchqa,Qwen3-8B,1000,0,0.497,0.598,0.141,121,0.121,20,0.02
searchqa,Llama-3.1-8B-Instruct,1000,0,0.515,0.654,0.189,164,0.164,25,0.025
simpleqa,Qwen3-8B,866,0,0.0439,0.037,0.0208,6,0.0069,12,0.0139
simpleqa,Llama-3.1-8B-Instruct,866,0,0.0704,0.0716,0.0196,9,0.0104,8,0.0092
triviaqa,Qwen3-8B,1000,0,0.638,0.621,0.059,21,0.021,38,0.038
triviaqa,Llama-3.1-8B-Instruct,1000,0,0.763,0.759,0.058,27,0.027,31,0.031
hotpotqa,BOTH,2000,0,0.31,0.353,0.141,184,0.092,98,0.049
mmlu,BOTH,1998,2,0.1446,0.3579,0.2613,474,0.2372,48,0.024
natural_questions,BOTH,2000,0,0.2345,0.3655,0.181,312,0.156,50,0.025
popqa,BOTH,2000,0,0.3155,0.2935,0.054,32,0.016,76,0.038
sciq,BOTH,1999,1,0.6593,0.7824,0.1681,291,0.1456,45,0.0225
searchqa,BOTH,2000,0,0.506,0.626,0.165,285,0.1425,45,0.0225
simpleqa,BOTH,1732,0,0.0572,0.0543,0.0202,15,0.0087,20,0.0115
triviaqa,BOTH,2000,0,0.7005,0.69,0.0585,48,0.024,69,0.0345
