kind,dataset,model,method,seed,status,metric_name,metric_value,expected_rows,actual_rows,path
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,0,complete,cosine_auroc,0.839858293752886,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_0
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,0,complete,mahalanobis_auroc,0.8464448924731183,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_0
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,0,complete,knn_auroc,0.8506551388614025,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_0
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,1,complete,cosine_auroc,0.8308401774523384,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_1
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,1,complete,mahalanobis_auroc,0.8478388251203904,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_1
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,1,complete,knn_auroc,0.8543839880598985,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_1
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,2,complete,cosine_auroc,0.8269777030147109,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_2
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,2,complete,mahalanobis_auroc,0.844247023220529,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_2
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,2,complete,knn_auroc,0.8479889009829146,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_2
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,3,complete,cosine_auroc,0.8370758295402071,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_3
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,3,complete,mahalanobis_auroc,0.8497998713635463,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_3
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,3,complete,knn_auroc,0.8557685615805792,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_3
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,4,complete,cosine_auroc,0.8377053235701564,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_4
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,4,complete,mahalanobis_auroc,0.8486201266574313,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_4
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive,4,complete,knn_auroc,0.8518849775710798,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive/seed_4
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,cosine_auroc,0.8351896099003757,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_0
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,mahalanobis_auroc,0.8463391238317526,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_0
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,0,complete,knn_auroc,0.8504777539882258,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_0
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,cosine_auroc,0.8374931971106273,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_1
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,mahalanobis_auroc,0.8497374496998482,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_1
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,1,complete,knn_auroc,0.8544970809420147,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_1
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,cosine_auroc,0.8380667837588233,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_2
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,mahalanobis_auroc,0.848646101325945,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_2
training,hotpotqa,Llama-3.1-8B-Instruct,contrastive_logprob_recon,2,complete,knn_auroc,0.8519260010554786,,,runs/baseline_comparison_hotpotqa/hotpotqa/contrastive_logprob_recon/seed_2
